Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name,Average Data Speed Download,Average Data Speed Upload,Population,Literacy Rate,Rainfall,Area of the state,Average_Signal
RJio,Indoor,4G,5,Satisfactory,0.618978261,0.136530239,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
RJio,Indoor,4G,5,Satisfactory,0.578853406,0.593748187,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
Airtel,Indoor,4G,4,Satisfactory,0.389361827,0.258771122,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,4,Satisfactory,0.389390117,0.258659325,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,4,Satisfactory,0.389390117,0.258659325,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,3,Poor Voice Quality,0.389390117,0.258659325,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,3,Poor Voice Quality,0.389390117,0.258659325,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,4,Satisfactory,0.389361827,0.258771122,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,4,Satisfactory,0.389361827,0.258771122,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,4,Satisfactory,0.389361827,0.258771122,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
RJio,Indoor,4G,5,Satisfactory,0.578854596,0.59374833,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
RJio,Indoor,4G,3,Satisfactory,0.341495274,0.437907502,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
RJio,Indoor,4G,3,Satisfactory,0.34198832,0.436522222,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
RJio,Indoor,4G,3,Satisfactory,0.34198832,0.436522222,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
RJio,Indoor,4G,3,Satisfactory,0.341985452,0.436537882,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
RJio,Indoor,4G,5,Satisfactory,0.541611029,0.54825104,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
RJio,Indoor,4G,3,Satisfactory,0.341985452,0.436537882,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
RJio,Indoor,4G,3,Satisfactory,0.342076734,0.437350497,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
RJio,Indoor,4G,5,Satisfactory,0.499815652,0.631594179,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
Vodafone,Outdoor,3G,3,Satisfactory,0.601825573,0.067651411,Gujarat,0.109267119,0.127813653,2,8,2,0.51804032,0.479734519
Vodafone,Outdoor,3G,3,Satisfactory,0.601825573,0.067651411,Gujarat,0.109267119,0.127813653,2,8,2,0.51804032,0.479734519
Airtel,Indoor,3G,4,Satisfactory,0.837864707,0.303220913,Haryana,0.044468651,0.054571386,0,7,1,0.017631586,0.478670634
Airtel,Travelling,4G,4,Satisfactory,0.192178575,0.319292198,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
Airtel,Outdoor,4G,2,Poor Voice Quality,0.194837075,0.321997976,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
Airtel,Outdoor,4G,3,Satisfactory,0.19523976,0.319220521,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
Airtel,Outdoor,4G,3,Satisfactory,0.194376383,0.320505739,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
Airtel,Indoor,4G,4,Satisfactory,0.19405419,0.319895182,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
Airtel,Outdoor,4G,3,Satisfactory,0.194837075,0.321997976,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
BSNL,Indoor,4G,4,Satisfactory,0.424155244,0.181436987,Maharashtra,0.225998775,0.322778307,4,8,4,0.88619403,0.477346684
Vodafone,Indoor,3G,4,Satisfactory,0.59491051,0.730128063,West Bengal,0.058112623,0.079078531,3,7,6,0.1644461,0.478087119
RJio,Indoor,4G,1,Poor Voice Quality,0.587116279,0.728573307,West Bengal,0.518466709,0.283986543,3,7,6,0.1644461,0.477986432
Airtel,Indoor,4G,1,Call Dropped,0.363691262,0.197241219,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,1,Call Dropped,0.363691262,0.197241219,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Outdoor,4G,4,Satisfactory,0.19194447,0.321799304,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
Airtel,Indoor,4G,3,Poor Voice Quality,0.363691262,0.197241219,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
RJio,Indoor,4G,3,Satisfactory,0.865004288,0.252257318,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
RJio,Indoor,4G,5,Satisfactory,0.541611029,0.54825104,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
Airtel,Indoor,3G,4,Satisfactory,0.837864707,0.303220913,Haryana,0.044468651,0.054571386,0,7,1,0.017631586,0.478670634
Vodafone,Indoor,4G,1,Poor Voice Quality,0.834639844,0.303660439,Haryana,0.13550797,0.220632218,0,7,1,0.017631586,0.47639887
RJio,Indoor,4G,4,Satisfactory,0.61928082,0.136547281,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
Idea,Outdoor,4G,3,Satisfactory,0.870264098,0.335428151,Uttar Pradesh,0.18125069,0.463859493,9,6,3,0.673827198,0.47685266
Airtel,Indoor,3G,4,Satisfactory,0.837864707,0.303220913,Haryana,0.044468651,0.054571386,0,7,1,0.017631586,0.478670634
Airtel,Outdoor,4G,3,Satisfactory,0.427841886,0.176310647,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Vodafone,Outdoor,4G,1,Poor Voice Quality,0.83464034,0.303660649,Haryana,0.13550797,0.220632218,0,7,1,0.017631586,0.47639887
RJio,Indoor,4G,5,Satisfactory,0.541611029,0.54825104,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
RJio,Travelling,4G,5,Satisfactory,0.962451982,0.235865978,Punjab,0.445519017,0.396685158,0,7,1,0.03790346,0.477425661
RJio,Outdoor,4G,5,Satisfactory,0.962703895,0.235237598,Punjab,0.445519017,0.396685158,0,7,1,0.03790346,0.477425661
BSNL,Indoor,4G,4,Satisfactory,0.424155244,0.181436987,Maharashtra,0.225998775,0.322778307,4,8,4,0.88619403,0.477346684
Vodafone,Outdoor,4G,4,Satisfactory,0.45242773,0.148824899,Maharashtra,0.16002863,0.230054742,4,8,4,0.88619403,0.476391694
Vodafone,Indoor,3G,2,Poor Voice Quality,0.454650026,0.149025165,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
RJio,Outdoor,4G,4,Satisfactory,0.445708297,0.144504803,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
Vodafone,Indoor,3G,1,Call Dropped,0.63290796,0.135436251,Gujarat,0.109267119,0.127813653,2,8,2,0.51804032,0.479734519
RJio,Outdoor,4G,4,Satisfactory,0.445708297,0.144504803,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
Airtel,Indoor,4G,4,Satisfactory,0.389134142,0.258852216,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
RJio,Outdoor,4G,3,Satisfactory,0.612016368,0.134729351,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
Airtel,Indoor,4G,1,Poor Voice Quality,0.428857792,0.182445893,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
RJio,Outdoor,4G,4,Satisfactory,0.445708297,0.144504803,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
Vodafone,Indoor,4G,1,Call Dropped,0.632889445,0.135442462,Gujarat,0.211519457,0.370879261,2,8,2,0.51804032,0.477251696
RJio,Outdoor,4G,4,Satisfactory,0.445708297,0.144504803,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Outdoor,4G,1,Poor Voice Quality,0.720265573,0.55464533,Uttar Pradesh,0.706629294,0.444990279,9,6,3,0.673827198,0.478546736
RJio,Indoor,4G,1,Call Dropped,0.483863201,0.177597787,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Outdoor,4G,4,Satisfactory,0.445708297,0.144504803,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,5,Satisfactory,0.190899315,0.3220365,Karnataka,0.522448639,0.791646979,2,7,3,0.504087337,0.477132317
RJio,Indoor,4G,5,Satisfactory,0.190899315,0.3220365,Karnataka,0.522448639,0.791646979,2,7,3,0.504087337,0.477132317
RJio,Indoor,4G,4,Satisfactory,0.474972861,0.230356727,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,4,Satisfactory,0.474972861,0.230356727,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,4,Satisfactory,0.433351524,0.175227433,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Travelling,4G,1,Call Dropped,0.453526292,0.155853027,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Travelling,4G,3,Satisfactory,0.453526292,0.155853027,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,3,Satisfactory,0.446470503,0.144596074,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,3,Satisfactory,0.446470503,0.144596074,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,3,Satisfactory,0.446470503,0.144596074,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,3,Satisfactory,0.446470503,0.144596074,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
Vodafone,Travelling,4G,4,Satisfactory,0.6111496,0.133010251,Gujarat,0.211519457,0.370879261,2,8,2,0.51804032,0.477251696
Airtel,Indoor,3G,1,Call Dropped,0.452102574,0.143382946,Maharashtra,0.057104427,0.027341735,4,8,4,0.88619403,0.478853385
RJio,Indoor,4G,3,Satisfactory,0.453083001,0.156697381,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
RJio,Indoor,4G,2,Poor Voice Quality,0.725210684,0.590310539,Bihar,0.978007087,0.531543662,4,6,3,0.182282053,0.478527436
RJio,Indoor,4G,3,Satisfactory,0.588794983,0.725360502,West Bengal,0.518466709,0.283986543,3,7,6,0.1644461,0.477986432
Vodafone,Indoor,3G,5,Satisfactory,0.769484726,0.255220644,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
RJio,Indoor,4G,5,Satisfactory,0.436406464,0.231373749,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
Vodafone,Indoor,3G,5,Satisfactory,0.769484833,0.255221557,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
Vodafone,Indoor,3G,5,Satisfactory,0.769484833,0.255221557,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
Vodafone,Indoor,3G,5,Satisfactory,0.782144886,0.252138195,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
Vodafone,Indoor,3G,5,Satisfactory,0.782163593,0.251639054,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
Vodafone,Indoor,4G,5,Satisfactory,0.769734276,0.254805881,Rajasthan,0.175813487,0.397520994,2,6,0,1,0.477613938
Idea,Indoor,3G,5,Satisfactory,0.421340933,0.179759624,Maharashtra,0.053706888,0.079390198,4,8,4,0.88619403,0.478341131
Vodafone,Indoor,3G,5,Satisfactory,0.773622831,0.252654979,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
RJio,Indoor,4G,5,Satisfactory,0.498692758,0.631605468,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
Airtel,Indoor,4G,1,Poor Voice Quality,0.428857792,0.182445893,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
BSNL,Indoor,4G,4,Satisfactory,0.424155244,0.181436987,Maharashtra,0.225998775,0.322778307,4,8,4,0.88619403,0.477346684
RJio,Travelling,4G,5,Satisfactory,0.886028885,0.300366195,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
RJio,Indoor,4G,5,Satisfactory,0.886028885,0.300366195,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
RJio,Indoor,4G,5,Satisfactory,0.886028885,0.300366195,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
Airtel,Indoor,4G,1,Poor Voice Quality,0.1945791,0.320128755,Karnataka,0.271479815,0.19751216,2,7,3,0.504087337,0.476721001
RJio,Outdoor,4G,4,Satisfactory,0.445708297,0.144504803,Maharashtra,0.638263641,0.325794148,4,8,4,0.88619403,0.478171535
Airtel,Indoor,3G,5,Satisfactory,0.693576476,0.599862566,Bihar,0.047198456,0.030581743,4,6,3,0.182282053,0.478389736
RJio,Indoor,4G,3,Call Dropped,0.886031958,0.300358834,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
Airtel,Indoor,3G,5,Satisfactory,0.363691262,0.197241219,Maharashtra,0.057104427,0.027341735,4,8,4,0.88619403,0.478853385
Airtel,Indoor,4G,1,Poor Voice Quality,0.428857792,0.182445893,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Vodafone,Indoor,3G,1,Call Dropped,0.632902085,0.135430239,Gujarat,0.109267119,0.127813653,2,8,2,0.51804032,0.479734519
Idea,Indoor,4G,5,Satisfactory,0.423345165,0.180910716,Maharashtra,0.177116807,0.445744448,4,8,4,0.88619403,0.476894394
RJio,Indoor,4G,5,Satisfactory,0.452291433,0.541255382,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
Vodafone,Indoor,4G,4,Satisfactory,0.772312941,0.448326581,Uttar Pradesh,0.147095604,0.237023093,9,6,3,0.673827198,0.476616193
RJio,Indoor,4G,1,Poor Voice Quality,0.612247966,0.135130828,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
Airtel,Indoor,4G,5,Satisfactory,0.841838714,0.312949874,Uttar Pradesh,0.227597958,0.407191851,9,6,3,0.673827198,0.477256378
RJio,Indoor,4G,1,Poor Voice Quality,0.717245205,0.60607025,Bihar,0.978007087,0.531543662,4,6,3,0.182282053,0.478527436
Vodafone,Indoor,3G,4,Satisfactory,0.426601908,0.180222538,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,4G,5,Satisfactory,0.777049493,0.453780794,Uttar Pradesh,0.147095604,0.237023093,9,6,3,0.673827198,0.476616193
RJio,Indoor,4G,4,Satisfactory,0.582411542,0.155040506,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
Vodafone,Travelling,4G,4,Satisfactory,0.429267141,0.179171336,Maharashtra,0.16002863,0.230054742,4,8,4,0.88619403,0.476391694
Airtel,Indoor,3G,1,Call Dropped,0.200190583,0.423248859,Tamil Nadu,0.036321276,0.062303489,2,8,2,0.300607167,0.478453945
Airtel,Indoor,4G,1,Call Dropped,0.200217059,0.423336248,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
Airtel,Indoor,3G,5,Satisfactory,0.363691262,0.197241219,Maharashtra,0.057104427,0.027341735,4,8,4,0.88619403,0.478853385
Airtel,Indoor,3G,1,Call Dropped,0.200205861,0.423261956,Tamil Nadu,0.036321276,0.062303489,2,8,2,0.300607167,0.478453945
Airtel,Travelling,4G,1,Call Dropped,0.200205861,0.423261956,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
Airtel,Indoor,4G,1,Call Dropped,0.200206949,0.423288146,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
Airtel,Indoor,4G,1,Call Dropped,0.200206949,0.423288146,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
Airtel,Indoor,4G,1,Call Dropped,0.200206949,0.423288146,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
Airtel,Indoor,4G,1,Call Dropped,0.200206949,0.423288146,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
Idea,Indoor,3G,5,Satisfactory,0.428857152,0.180577198,Maharashtra,0.053706888,0.079390198,4,8,4,0.88619403,0.478341131
Vodafone,Indoor,3G,5,Satisfactory,0.769734276,0.254805881,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
Vodafone,Indoor,4G,4,Satisfactory,0.431986796,0.179440793,Maharashtra,0.16002863,0.230054742,4,8,4,0.88619403,0.476391694
RJio,Indoor,4G,5,Satisfactory,0.841838714,0.312949874,Uttar Pradesh,0.706629294,0.444990279,9,6,3,0.673827198,0.478546736
Idea,Indoor,3G,3,Poor Voice Quality,0.424449279,0.180017769,Maharashtra,0.053706888,0.079390198,4,8,4,0.88619403,0.478341131
Airtel,Indoor,3G,4,Satisfactory,0.446201137,0.146445761,Maharashtra,0.057104427,0.027341735,4,8,4,0.88619403,0.478853385
Airtel,Indoor,3G,1,Call Dropped,0.199885602,0.422646418,Tamil Nadu,0.036321276,0.062303489,2,8,2,0.300607167,0.478453945
Airtel,Travelling,4G,1,Call Dropped,0.199767567,0.422540677,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
Idea,Indoor,4G,3,Poor Voice Quality,0.424926498,0.181367727,Maharashtra,0.177116807,0.445744448,4,8,4,0.88619403,0.476894394
RJio,Indoor,4G,5,Satisfactory,0.495948741,0.630551297,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
RJio,Outdoor,4G,2,Poor Voice Quality,0.725210684,0.590310539,Bihar,0.978007087,0.531543662,4,6,3,0.182282053,0.478527436
Airtel,Indoor,3G,1,Call Dropped,0.452107663,0.143378051,Maharashtra,0.057104427,0.027341735,4,8,4,0.88619403,0.478853385
Vodafone,Travelling,4G,4,Satisfactory,0.429267141,0.179171336,Maharashtra,0.16002863,0.230054742,4,8,4,0.88619403,0.476391694
Vodafone,Indoor,4G,1,Call Dropped,0.429267141,0.179171336,Maharashtra,0.16002863,0.230054742,4,8,4,0.88619403,0.476391694
Airtel,Indoor,4G,1,Call Dropped,0.332253214,0.429607226,Andhra Pradesh,0.433892547,0.508261271,3,0,3,0.399972312,0.476422402
RJio,Indoor,4G,3,Satisfactory,0.865002662,0.252243657,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
Airtel,Outdoor,4G,1,Poor Voice Quality,0.197089495,0.42120221,Tamil Nadu,0.243948435,0.213997202,2,8,2,0.300607167,0.476680758
RJio,Indoor,4G,5,Satisfactory,0.886030138,0.30036312,Haryana,0.221015122,0.204923846,0,7,1,0.017631586,0.476760872
RJio,Indoor,4G,3,Satisfactory,0.341470842,0.43787779,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
Idea,Travelling,3G,4,Satisfactory,0.429775852,0.179069914,Maharashtra,0.053706888,0.079390198,4,8,4,0.88619403,0.478341131
Vodafone,Outdoor,4G,5,Satisfactory,0.769491719,0.254468818,Rajasthan,0.175813487,0.397520994,2,6,0,1,0.477613938
Vodafone,Indoor,3G,5,Satisfactory,0.769716405,0.254794995,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
RJio,Indoor,4G,3,Satisfactory,0.341470684,0.437878075,Andhra Pradesh,1,0.461252155,3,0,3,0.399972312,0.479194213
Airtel,Indoor,3G,1,Call Dropped,0.452107497,0.143379675,Maharashtra,0.057104427,0.027341735,4,8,4,0.88619403,0.478853385
RJio,Indoor,4G,5,Satisfactory,0.541611029,0.54825104,Odisha,0.970964814,0.556210557,1,7,4,0.385145826,0.480696833
RJio,Outdoor,4G,1,Poor Voice Quality,0.668525049,0.256370344,Madhya Pradesh,0.727246621,0.381830121,2,7,3,0.887970703,0.478252066
Idea,Outdoor,4G,4,Satisfactory,0.511101954,0.146721861,Gujarat,0.237321954,0.570446303,2,8,2,0.51804032,0.477344263
Vodafone,Outdoor,3G,5,Satisfactory,0.443293597,0.143540585,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.447502968,0.144877335,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.447425764,0.14488594,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.447421832,0.14490369,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.443310675,0.143610826,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.443309237,0.143609675,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.443308301,0.143609285,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.443306378,0.143605127,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Outdoor,3G,5,Satisfactory,0.443392957,0.143498318,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.444324913,0.143450641,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Outdoor,3G,5,Satisfactory,0.44429994,0.143437948,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Outdoor,3G,5,Satisfactory,0.444301957,0.143455394,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.444324913,0.143450641,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Vodafone,Indoor,3G,5,Satisfactory,0.444324913,0.143450641,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Idea,Outdoor,4G,4,Satisfactory,0.511103592,0.146716078,Gujarat,0.237321954,0.570446303,2,8,2,0.51804032,0.477344263
Vodafone,Indoor,3G,5,Satisfactory,0.769734276,0.254805881,Rajasthan,0.069154395,0.098922914,2,6,0,1,0.478636991
Airtel,Indoor,4G,1,Poor Voice Quality,0.430111472,0.17915289,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,1,Poor Voice Quality,0.430111472,0.17915289,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Vodafone,Indoor,4G,5,Satisfactory,0.769734276,0.254805881,Rajasthan,0.175813487,0.397520994,2,6,0,1,0.477613938
RJio,Indoor,4G,2,Poor Voice Quality,0.596913272,0.14442729,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
RJio,Indoor,4G,3,Satisfactory,0.596913272,0.14442729,Gujarat,0.504789572,0.285163213,2,8,2,0.51804032,0.478339777
Airtel,Indoor,4G,1,Call Dropped,0.452106934,0.143377303,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Airtel,Indoor,4G,3,Call Dropped,0.717943156,0.606900803,Bihar,0.239961574,0.295749906,4,6,3,0.182282053,0.476886789
Vodafone,Indoor,3G,4,Satisfactory,0.448479241,0.145778095,Maharashtra,0.06840079,0.08136687,4,8,4,0.88619403,0.478677566
Airtel,Indoor,4G,1,Poor Voice Quality,0.430111472,0.17915289,Maharashtra,0.333021108,0.395611822,4,8,4,0.88619403,0.476858539
Vodafone,Indoor,3G,1,Call Dropped,0.632902085,0.135430239,Gujarat,0.109267119,0.127813653,2,8,2,0.51804032,0.479734519
